STATE	LOCALITY_PID	POSTCODE	LOCALITY_NAME	LONGITUDE	LATITUDE
NSW	locbf7ca10fc40b	2290	MOUNT HUTTON	151.67067373	-32.97889264
NSW	locbfc11a574b29	2480	NIGHTCAP	153.29362709	-28.55193808
NSW	loc9ca43f478af5	2330	GLENNIES CREEK	151.10883255	-32.45567996
NSW	locb5fe1f198ccf	2203	DULWICH HILL	151.1395467	-33.90406995
NSW	locb71802dd9fee	2630	ROCK FLAT	149.20973065	-36.38782963
NSW	loc7f9e1f3d47db	2820	MUMBIL	149.07822048	-32.71886136
NSW	locf9701d0fea6c	2795	THE LAGOON	149.62228569	-33.54329519
NSW	locd0e75b0dab89	2212	REVESBY HEIGHTS	151.01943529	-33.96981159
NSW	locd118bf88da75	2487	KINGS FOREST	153.54901181	-28.29935946
NSW	loc2c93c91b108b	2795	MILLAH MURRAH	149.61157987	-33.18001302
NSW	loc2cec5505949a	2259	LEMON TREE	151.37144304	-33.133913
NSW	loc2e98fc933817	2176	EDENSOR PARK	150.87774111	-33.87972125
NSW	loc6383793dff0f	2210	LUGARNO	151.04485669	-33.98335669
NSW	loc249815506cfa	2642	BURRUMBUTTOCK	146.79470812	-35.83007875
NSW	loc24cf62dd6751	2701	BERRY JERRY	147.24651244	-34.70682415
NSW	loc24ffc42f7ce6	2782	WENTWORTH FALLS	150.37971804	-33.72166479
NSW	loc250bca46973d	2540	WOLLUMBOOLA	150.72748128	-34.95899726
NSW	loc25976f32b6c9	2790	CLARENCE	150.2197702	-33.47401965
NSW	loc25b4bae38b3e	2281	CATHERINE HILL BAY	151.62487663	-33.14740627
NSW	loc25e255df3f79	2620	GOOGONG	149.22763541	-35.44469973
NSW	loc26342e571177	2587	WOMBAT	148.23743382	-34.4251812
NSW	loc263c5404cbb9	2358	MIHI	151.69421424	-30.71829867
NSW	loc268e711ecfd5	2281	MURRAYS BEACH	151.62307008	-33.11863738
NSW	loc26b46b1efe8f	2357	ROCKY GLEN	149.53476475	-31.08470134
NSW	loc26cb59d091a8	2711	CARRATHOOL	145.41908086	-34.42960456
NSW	loc5bcadfb5ac4c	2344	DURI	150.8186477	-31.2314061
NSW	loc69b0db54a32e	2463	TOWNSEND	153.22069212	-29.46622369
NSW	loc6238259defa9	2320	ABERGLASSLYN	151.53396183	-32.69488411
NSW	loc637b47e75ebe	2787	TARANA	149.88447293	-33.54807671
NSW	loc63f7217fd88b	2440	FREDERICKTON	152.86042449	-31.02580752
NSW	loc642666b816be	2295	FERN BAY	151.81318065	-32.86425728
NSW	loc64fad4197f77	2537	MORUYA HEADS	150.1400805	-35.92629792
NSW	loc65608697f804	2795	GOWAN	149.3526558	-33.14985166
NSW	loc65a9cb15b8d1	2546	KIANGA	150.07560927	-36.18373975
NSW	loc66107495d755	2046	CHISWICK	151.13850037	-33.8499193
NSW	loca382ce9decfb	2710	WANDOOK	145.02970588	-35.42338603
NSW	loc40e90188fa28	2484	FARRANTS HILL	153.48548688	-28.31851514
NSW	loc4f9e83310927	2536	CATALINA	150.18528338	-35.73026241
NSW	loce2805b5edfc4	2800	CANOBOLAS	149.00408267	-33.35529709
NSW	locc0764149b600	2115	ERMINGTON	151.06009883	-33.81125156
NSW	loc40a1d47c822d	2360	BUKKULLA	151.11230002	-29.51252697
NSW	loc40d976b1c6d6	2089	KURRABA POINT	151.22316001	-33.84186552
NSW	loc6e7c8fc9d0cf	2535	COOLANGATTA	150.71509001	-34.85344175
NSW	loc6e9b93d24561	2477	BAGOTVILLE	153.41277774	-28.97549211
NSW	loc6e9bcee42ce2	2480	BOAT HARBOUR	153.36763901	-28.77855148
